text,label
"I knew it আমি যদি work hard করি  I will get promotion काम पर प्रमोशन मिलने के बाद आने वाली चीज़ों के लिए धन्य और उत्साहित महसूस करना। প্রাউড অফ মাইসেলফ ফর অল টি হার্ড ওয়ার্ক এন্ড ডেডিকেশন ্থাৎ লেডি তো ঠিক প্রমোশন. এক্সসাইটেড ফর হোয়াট'স তো কমে! অবশেষে আমার এই কঠোর dedication জন্য promotion reward পেয়েছি aaj, main kaam par ek naee bhoomika ke lie padonnat hone par khushee aur krtagyata se bhar gaya hoon.",Positive
"I still can't believe that আমার সবচেয়ে কাছের friend getting married प्यार, हंसी और हमेशा खुशियों से भरा एक अद्भुत दिन। मेरे दोस्तों को जीवन भर प्यार और खुशी की कामना! #वेडिंगजॉय ইট'স অলওয়েজ এ জয় তো উইটনেস লোভে ইন অল ইটস ফরমস, এন্ড টুডে'স বেডডিং ওয়াস নো এক্সেপশন. কংগ্রাটস তো টি নেউলিবেডস! #ফ্রেভারতগেথের অবশেষে আমার friend wedding এর উপলক্ষে সবাই একত্র হলো shaadee ek khoobasoorat rimaindar thee ki pyaar koee seema nahin jaanata aur logon ko ek saath laane kee taakat rakhata hai. saubhagyashaalee jode ko badhaee! #pyaar pyaar hai",Positive
"The সুন্দর sunset has made my বাজে দিন   into the best day
 इस तरह का सूर्यास्त मुझे जीवंत और जीवित रहने के लिए आभारी महसूस कराता है। এস টি সুন্ সেট্স, ই এম ফিলড উইথ গ্রাটিটুড ফর আনথের ডে এন্ড টি মেমোরিজ ই'ভে মেড. সমুদ্রের তীরে বসে sunset 🌇 দেখার মত আর কোন কিছুই নেই main aise kshanon ke lie aabhaaree hoon jo mujhe duniya kee shuddh sundarata kee yaad dilaate hain.",Positive
"The dog was so ভালো  that I can't do anything but ওটাকে নিজের কাছে রেখেছি and give it a new home हमारा रेस्क्यू डॉग हमारे जीवन में बहुत हंसी, दुलार और खुशियां लेकर आया है। हमारे पास इसका कोई दूसरा तरीका नहीं होगा। 😂🐶 #rescuedogjoy ই'ম স গ্র্যাটফুল ফর টি অপর্চুনিটি তো গিভ আ সেকেন্ড চান্স তো এ দেশেরভিং রেসকিউ যোগ. দেয় মেক এভরি ডে বেটার. #রেসকায়েপেতলভ কুকুরটিকে যখন একটি new home দিলাম কুকুরটার মত happy যেন আর কেউ ছিলনা ek bachaav kutta maata-pita hona ek jimmedaaree aur visheshaadhikaar hai. ham unhen apane jeevan mein paakar sammaanit mahasoos karate hain. 🐶💖 #raischuaipaitfamily",Positive
"I really love to bake cookies and ভাগ করে দেই  with my family and বন্ধু  शुरुआत से कुकीज़ बेक करने और यह देखने से कि कितने लोग उनका आनंद लेते हैं, सिद्धि की भावना जैसा कुछ नहीं है। হোয়েন লাইফ গিভস ইউ লেমনস, মেক কুকিজ! জাস্ট হোইপেড উপ আ ব্যাচ ফ্রম স্ক্রাচ এন্ড ফিলিং স মাচ বেটার. আমি আমার daughter সাথে cookies গুলো bake করতে  খুব ভালোবাসি abhee-abhee mere bachchon ke saath kukeez ka ek baich bek kiya hai. gadabad un yaadon ke laayak thee jinhen hamane ek saath banaaya tha.
",Positive
"After completing my hike I can see সবচেয়ে সুন্দতম view of my life लंबी पैदल यात्रा मुझे हमेशा यात्रा की सराहना करने की याद दिलाती है, न कि केवल गंतव्य की। आज का रोमांच खूबसूरत पलों से भरा था और मैं उन्हें अनुभव करने के लिए बहुत भाग्यशाली महसूस कर रहा हूं। আনথের ডে, আনথের এডভেঞ্চার! জাস্ট গোৎ ব্যাক ফ্রম আ বিউটিফুল হিকে এন্ড ফিলিং স গ্র্যাটফুল ফর টি অপর্চুনিটি তো এক্সপ্লোর টি ওয়ার্ল্ড অ্যারাউন্ড মে. Friends সাথে যখন hike করে আমি tip of the valley গিয়ে সেই সুন্দর summit দেখতে পেয়েছি chunauteepoorn haik ko poora karane ke baad upalabdhi kee bhaavana jaisa kuchh nahin hai. aaj ek achchha din tha!",Positive
By going through the নতুন messages of my old friends আমি বলতে পারবো that the old is always gold  किसी पुराने मित्र से फिर से जुड़ने जैसा कुछ नहीं है। आज मुझे मिले संदेश के लिए आभारी महसूस कर रहा हूं। রেসেইভিং এ মেসেজ ফ্রম অং ওল্ড ফ্রেন্ড টুডে মেড মে রিলিজি হাউ লাকি ই আমি তো হ্যাভ থিম ইন ময় লাইফ. সো হ্যাপি তো রেকংনেক্ট! পুরনো বন্ধুদের msg  কারণে আবার পুরনো memories remember হয়ে গেল aaj ek puraane mitr se mile sandesh ke lie bahut aabhaaree mahasoos kar raha hoon. yah aashcharyajanak hai ki kaise kuchh dostee samay ke saath kabhee pheekee nahin padateen.,Positive
"For the first time আমি marathon এ দৌড়িয়েছি .it was a great lesson  फिटनेस के लिए मेरी यात्रा उतार-चढ़ाव से भरी रही है, लेकिन मुझे यह कहते हुए गर्व हो रहा है कि मैं दूसरी तरफ मजबूत होकर बाहर आया हूं। ফিটনেস ইসন'ত জাস্ট আ হেব্বি, ইট'স আ লাইফস্টাইল. এন্ড ই'ম সো হ্যাপি তো হ্যাভ মেড ইট আ প্রায়োরিটি ইন ময় লাইফ. অতি পরিশ্রমের পর আমি আমার weight কে put on  করতে পারলাম tanaav se raahat ke lie vyaayaam mera aautalet ban gaya hai, aur isase mujhe jo shaanti milatee hai, usake lie main bahut aabhaaree hoon.",Positive
"By looking through আমার বাচ্চাদের  graduation আমার মনে পড়ে গেলো my own graduation time आज मेरा बच्चा स्नातक है और मुझे उन सभी पर गर्व है जो उन्होंने हासिल किए हैं। यहाँ एक उज्ज्वल और रोमांचक भविष्य है! গ্রাডুয়েশন ডে ফর ময় চাইল্ড এন্ড ফিলিং স ব্লেসেড তো যে অবলে তো সেলিব্রেটে থিস ইনক্রেডিবল অক্কোম্পলিশমেন্ট উইথ থিম. কংগ্রাচুলেশন্স! দেখতে দেখতে time কতটা চলে গেছে তা আমি আমার Childers graduation দেখে বুঝতে পারলাম mere bachche ke aaj snaatak hone par utsaah aur bhaavana se bhara ek din. unhonne jo kuchh bhee haasil kiya hai, us par unhen bahut garv hai aur aage kya hota hai yah dekhane ke lie intajaar nahin kar sakate.",Positive
"I still can't believe that আমার most  favourite team on the লড়াই
 अपनी पसंदीदा खेल टीम को चैंपियनशिप जीतते देखना दुनिया का सबसे अच्छा अहसास है! जीत के लिए मेरी टीम को बधाई! #SportsTeam #Champions #WinningFeeling ময় টীম দিদি ইট এগেইন! ওই'রে টি চ্যাম্পিয়ন্স এন্ড ই কোল্ডন'ত যে মোর এক্সসাইটেড! #চ্যাম্পিয়নশিপবিনার্স #উইননিংস্ট্রাক #স্পোর্টসফাঁস আমার এই প্রথম আমার favourite টিম  championship পেয়েছে meree teem ne abhee-abhee chaimpiyanaship jeetee hai aur yah sab unakee kadee mehanat, samarpan aur teem vark kee badaulat hai! #kadee mehanat #teem vark #chaimpiyans",Positive
"I feel really খুশি for the surprise party that আমার বন্ধুরা have done from my জন্মদিনে
You sent
 मैं बयां नहीं कर सकता कि मेरे प्रियजनों ने मेरे लिए जो शानदार सरप्राइज बर्थडे पार्टी रखी है, उसके लिए मैं कितना आभारी हूं। इसे इतना खास दिन बनाने के लिए आप सभी का धन्यवाद! ফিলিং স লোভেদ এন্ড অপারেসিয়াটেড আফটার টি অ্যামেজিং সুর্প্রীসে বার্থডে পার্টি ময় লোভেদ ওনেস থ্রেও ফর মে. থ্যাংক ইউ অল ফর টি মেমোরিজ এন্ড টি লোভে! আমি আশাও করতে পারিনি আমাকে এত বড় একটা birthday surprise দিবে সবাই kitana adbhut aashchary hai! aapake dvaara aayojit avishvasaneey paartee ke saath mere janmadin ko itana khaas banaane ke lie mere doston aur parivaar ko dhanyavaad.",Positive
"I got compliment from my supervisor আমার  new project এর জন্য एक सहयोगी द्वारा मेरी कड़ी मेहनत और समर्पण को सराहना के साथ पहचाने जाने के बाद आज मैं वास्तव में आभारी महसूस कर रहा हूं। টুডে ২ এ গুড ডে, থাঙ্কস তো আ কবরকের ওহ মেড মে ফিল অপারেসিয়াটেড উইথ আ হেয়ারতফেল্ট কম্প্লিমেন্ট. আজকে আমার supervisor থেকে একটা heartfelt কথা শুনে খুব ভালো লাগছে main aise adbhut sahakarmiyon ke lie bahut aabhaaree hoon, jo mujhe apanee tarah ke shabdon aur protsaahan se oopar uthaate hain",Positive
I just খেলতে ভালোবাসি puzzle solving with আমার বন্ধু  एक चुनौतीपूर्ण पुस्तक को सफलतापूर्वक पूरा करना और बौद्धिक रूप से प्रेरित महसूस करना। ফিলিং লাইক আ ডিটেক্টিভ আফটার সলভিং আ মিস্টারী ইন আ বোর্ড গেম উইথ ফ্রেন্ডস. আমি এখন Pro হয়ে গেছে  puzzle solving এর মধ্যে ek chunauteepoorn kala pariyojana par kaaboo paana aur apanee rachanaatmakata par garv mahasoos karana.,Positive
"Me and my friend আমার favourite Band show দেখতে গিয়েছিলাম  अपने पसंदीदा बैंड को लाइव परफॉर्म करते देखना एक सपना सच होने जैसा था, और मैं इसे कभी नहीं भूलूंगा! ময় ফেভরিট ব্যান্ড'স লাইভ পারফরমেন্স ওয়াস এ ট্রু মাস্টারপিস অফ মুসিক এন্ড এন্টারটেইনমেন্ট! আমার favourite band show দেখতে face to face দেখতে পেরে নিজেকে খুব ভাগ্যবান মনে হচ্ছে mere pasandeeda baind ke laiv pradarshan ke lie kal raat ka sangeet kaaryakram shuddh jaadoo tha!",Positive
"I was sitting in my room when I see the প্রথম snowfall এই ঋতুর  मौसम की पहली बर्फबारी को देखते हुए मैं विस्मय और आश्चर्य से भर जाता हूं। সিইং টি সনোফ্লাক্স ফাল আউটসাইড ময় উইন্ডো ইস লাইক ওয়াচিং আ ড্রিম কমে তো লাইফ. Canada আই এসে আজ first আমি snowfall দেখলাম baahar kee barph ek jaaduee vandaralaind kee tarah hai, bas khoje jaane kee prateeksha hai.",Positive
"Thank you বন্ধু the gift was so thoughtful for me that আমি express করতে পারছি না ""आज इस तरह का एक विचारशील और सार्थक उपहार पाकर वास्तव में धन्य महसूस कर रहा हूं।"" টি গিফট ই রেসিভড টুডে ইস আ সিম্বল অফ টি ডিপ লোভে এন্ড কানেকশন ই শেয়ার উইথ ময় ফ্রেন্ডস এন্ড ফ্যামিলি. Such a thoughtful of you আমাকেদেয়ার জন্য  such a সুন্দর gift aaj mujhe dikhae gae pyaar aur vichaarasheelata ke lie avishvasaneey roop se aabhaaree mahasoos kar raha hoon
",Positive
"Going to the vacation to saint Martin ছিল the best destination আমার জন্য
  दैनिक जीवन से बहुत जरूरी ब्रेक के बाद तरोताजा और फिर से ऊर्जावान महसूस कर रहा हूं। বিয়িং অবলে তো লেয়ারন এন্ড গ্রও এস আ পারসন থ্রু এক্সপোজার তো নিউ কাল্টুরেস এন্ড এক্সপেরিয়েন্সেস. বন্ধুদের সাথে একটা দেখে শুনে vacation গিয়েছিলাম it was really সুন্দর yaatra ke visheshaadhikaar aur duniya kee vividhata ka anubhav karane ke lie aabhaaree mahasoos karana.",Positive
"I still can't believe  আমি আমার dream job পেয়েছি
 यह आधिकारिक तौर पर है! मुझे यह घोषणा करते हुए खुशी हो रही है कि महीनों की खोज और तैयारी के बाद मुझे अपनी सपनों की नौकरी मिल गई है! টুডে মার্ক্স্ টি স্টার্ট অফ আ নিউ জার্নি! ই এম এক্সসাইটেড তো আন্নুন্স ্থাৎ ই হ্যাভ ল্যান্ডেড ময় ড্রিম জব! At last এত চেষ্টার পর আমি আমার dream job হাতে পেলামই
 sapane vaakee sach ho jaate hain! main yah ghoshana karane ke lie bahut aabhaaree hoon ki mainne apane sapanon kee naukaree pa lee hai!",Positive
Thinking of giving a surprise to my মা বাবা তাদের anniversary আছে  मैं इस तरह के प्यार और सहायक परिवार का हिस्सा बनकर बहुत भाग्यशाली महसूस करता हूं। সেলিব্রেটিং মই পেরেন্টস' অননিভার্সারি হস্ ফিলড মে উইথ স মাচ লোভে এন্ড হ্যাপিনেস. মা বাবার anniversary তে আমরা সব ভাই বন মিলে surprise দিলাম aaj ka din is baat kee yaad dilaata tha ki pyaar ko sanjona aur usaka jashn manaana kitana jarooree hai.,Positive
"We are দেখছি Netflix and  chill করছি
 एक अच्छी फिल्म और मेरे करीबी दोस्तों के साथ एक आरामदायक रात जैसा कुछ नहीं है। ই চেরিশ ঠেশে মোমেন্টস অফ লাফটার এন্ড জয় উইথ মই লোভেদ ওনেস ওহিলে ওয়াচিং আওয়ার ফেভরিট মুভিস. Friends সাথে বসে আড্ডা দিচ্ছি আর movie দেখছি।
 mere doston ke saath moovee naits mujhe hamesha mere jeevan mein vishesh logon ke lie aabhaaree mahasoos karaate hain.",Positive
"Today I পেয়েছি a চিঠি from my crush
  हस्तलिखित पत्र प्राप्त करना एक उपहार है जो देता रहता है - मैं इसे हमेशा संजो कर रखूंगा। থিস লেটার ২ আ বিউটিফুল রিমাইন্ডার অফ টি জয় এন্ড বিউটি ্থাৎ ক্যান যে ফাউন্ড ইন টি সিম্পল থিংস. প্রিয়জনদের কাছ থেকে many days পর একটা letter পেলাম
 main is patr mein dayaalu shabdon se bahut prabhaavit hua hoon - unaka matalab jitana main vyakt kar sakata hoon usase kaheen adhik hai.
",Positive
